Ultimaker Version,Layer,Fan on/off,Fan speed (min),Fan speed (max),Fan speed (avg),Temperature (min),Temperature (max),Temperature (avg),Feedrate (min),Feedrate (max),Feedrate (avg),Layer height,modified
2,0,0,0,0,0.0,0,0,0,600.0,7200.0,4047.7272727272725,0.45,0
2,1,1,0,255.0,127.5,0,0,0,600.0,7200.0,4093.103448275862,0.6,0
2,2,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4404.123711340206,0.75,0
2,3,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4419.2307692307695,0.9,0
2,4,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4426.315789473684,1.05,0
2,5,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4430.0,1.2,0
2,6,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4516.0,1.35,0
2,7,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4343.20987654321,1.5,0
2,8,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4467.6106194690265,1.65,0
2,9,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4469.029275808937,1.8,0
2,10,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4468.346456692913,1.95,0
2,11,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4474.828060522696,2.1,0
2,12,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4442.139038189533,2.25,0
2,13,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4504.243765084472,2.4,0
2,14,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4297.987359760658,2.55,0
2,15,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4270.804761904762,2.7,0
2,16,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4193.017222600409,2.85,0
2,17,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4193.147684605758,3,0
2,18,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4186.331475409835,3.15,0
2,19,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4220.6737001209185,3.3,0
2,20,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4163.270033898306,3.45,0
2,21,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4202.385054522129,3.6,0
2,22,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4189.138383838384,3.75,0
2,23,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4257.749966239027,3.9,0
2,24,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4214.074544179523,4.05,0
2,25,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4245.390629183401,4.2,0
2,26,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4205.9796776454095,4.35,0
2,27,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4371.218788627937,4.5,0
2,28,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4303.002058111381,4.65,0
2,29,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4264.8226975638745,4.8,0
2,30,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4303.940184615385,4.95,0
2,31,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4303.951935788481,5.1,0
2,32,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4219.414170854271,5.25,0
2,33,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4244.976637887252,5.4,0
2,34,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4250.94062816616,5.55,0
2,35,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4252.279465688841,5.7,0
2,36,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4351.07683741648,5.85,0
2,37,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4335.280805892549,6,0
2,38,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4369.373888404535,6.15,0
2,39,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4359.302512119877,6.3,0
